Name,Account_Number__c,Usage_Date__c,Active_Users__c,Api_Calls__c,Failed_Api_Calls__c,Key_Feature_Events__c
RR-0001-2026-08-05,RR-0001,2026-08-05,178,10324,13,1424
RR-0001-2026-08-06,RR-0001,2026-08-06,132,8844,10,660
RR-0001-2026-08-07,RR-0001,2026-08-07,191,14516,20,1146
RR-0001-2026-08-08,RR-0001,2026-08-08,198,13266,25,1188
RR-0001-2026-08-09,RR-0001,2026-08-09,105,5565,0,840
RR-0001-2026-08-10,RR-0001,2026-08-10,57,2451,0,342
RR-0001-2026-08-11,RR-0001,2026-08-11,109,7957,12,981
RR-0001-2026-08-12,RR-0001,2026-08-12,99,5742,6,990
RR-0001-2026-08-13,RR-0001,2026-08-13,35,1925,3,315
RR-0001-2026-08-14,RR-0001,2026-08-14,126,7056,8,756
RR-0001-2026-08-15,RR-0001,2026-08-15,135,8640,17,405
RR-0001-2026-08-16,RR-0001,2026-08-16,54,1890,0,216
RR-0001-2026-08-17,RR-0001,2026-08-17,157,11461,8,1570
RR-0001-2026-08-18,RR-0001,2026-08-18,132,6864,14,396
RR-0001-2026-08-19,RR-0001,2026-08-19,139,10981,2,556
RR-0001-2026-08-20,RR-0001,2026-08-20,26,1222,2,260
RR-0001-2026-08-21,RR-0001,2026-08-21,99,7722,3,297
RR-0001-2026-08-22,RR-0001,2026-08-22,27,675,3,243
RR-0001-2026-08-23,RR-0001,2026-08-23,24,1632,3,240
RR-0001-2026-08-24,RR-0001,2026-08-24,15,1110,3,75
RR-0001-2026-08-25,RR-0001,2026-08-25,75,5250,9,150
RR-0001-2026-08-26,RR-0001,2026-08-26,192,6336,23,960
RR-0001-2026-08-27,RR-0001,2026-08-27,204,14892,21,1428
RR-0001-2026-08-28,RR-0001,2026-08-28,161,9821,11,322
RR-0001-2026-08-29,RR-0001,2026-08-29,192,6336,22,384
RR-0001-2026-08-30,RR-0001,2026-08-30,10,280,0,50
RR-0001-2026-08-31,RR-0001,2026-08-31,18,558,2,126
RR-0001-2026-09-01,RR-0001,2026-09-01,105,2730,5,1050
RR-0001-2026-09-02,RR-0001,2026-09-02,195,12675,24,1755
RR-0001-2026-09-03,RR-0001,2026-09-03,108,7776,10,216
RR-0002-2026-08-05,RR-0002,2026-08-05,246,17958,4,1968
RR-0002-2026-08-06,RR-0002,2026-08-06,222,5772,26,1110
RR-0002-2026-08-07,RR-0002,2026-08-07,139,5838,6,1112
RR-0002-2026-08-08,RR-0002,2026-08-08,68,4420,2,204
RR-0002-2026-08-09,RR-0002,2026-08-09,170,10880,13,510
RR-0002-2026-08-10,RR-0002,2026-08-10,93,6975,12,930
RR-0002-2026-08-11,RR-0002,2026-08-11,192,10368,9,384
RR-0002-2026-08-12,RR-0002,2026-08-12,96,3552,10,768
RR-0002-2026-08-13,RR-0002,2026-08-13,188,9776,13,564
RR-0002-2026-08-14,RR-0002,2026-08-14,171,13509,23,342
RR-0002-2026-08-15,RR-0002,2026-08-15,168,12096,7,504
RR-0002-2026-08-16,RR-0002,2026-08-16,58,4524,4,232
RR-0002-2026-08-17,RR-0002,2026-08-17,219,9198,19,1971
RR-0002-2026-08-18,RR-0002,2026-08-18,31,2480,4,186
RR-0002-2026-08-19,RR-0002,2026-08-19,209,16720,14,2090
RR-0002-2026-08-20,RR-0002,2026-08-20,234,10530,10,1170
RR-0002-2026-08-21,RR-0002,2026-08-21,153,5814,0,1071
RR-0002-2026-08-22,RR-0002,2026-08-22,187,12155,24,1870
RR-0002-2026-08-23,RR-0002,2026-08-23,203,15834,24,1015
RR-0002-2026-08-24,RR-0002,2026-08-24,126,3780,14,882
RR-0002-2026-08-25,RR-0002,2026-08-25,16,976,1,112
RR-0002-2026-08-26,RR-0002,2026-08-26,55,4180,1,165
RR-0002-2026-08-27,RR-0002,2026-08-27,184,5520,7,552
RR-0002-2026-08-28,RR-0002,2026-08-28,40,2000,5,320
RR-0002-2026-08-29,RR-0002,2026-08-29,73,5694,0,511
RR-0002-2026-08-30,RR-0002,2026-08-30,91,6279,11,364
RR-0002-2026-08-31,RR-0002,2026-08-31,44,2552,2,396
RR-0002-2026-09-01,RR-0002,2026-09-01,35,1680,4,175
RR-0002-2026-09-02,RR-0002,2026-09-02,5,365,3,10
RR-0002-2026-09-03,RR-0002,2026-09-03,61,2989,3,366
RR-0003-2026-08-05,RR-0003,2026-08-05,61,4209,6,549
RR-0003-2026-08-06,RR-0003,2026-08-06,185,7030,20,555
RR-0003-2026-08-07,RR-0003,2026-08-07,182,6188,1,1274
RR-0003-2026-08-08,RR-0003,2026-08-08,150,5250,19,1500
RR-0003-2026-08-09,RR-0003,2026-08-09,134,7504,0,1340
RR-0003-2026-08-10,RR-0003,2026-08-10,46,2484,3,460
RR-0003-2026-08-11,RR-0003,2026-08-11,148,5328,0,740
RR-0003-2026-08-12,RR-0003,2026-08-12,158,6162,0,474
RR-0003-2026-08-13,RR-0003,2026-08-13,181,9231,12,1810
RR-0003-2026-08-14,RR-0003,2026-08-14,230,6900,14,1150
RR-0003-2026-08-15,RR-0003,2026-08-15,137,4521,3,274
RR-0003-2026-08-16,RR-0003,2026-08-16,38,1330,0,342
RR-0003-2026-08-17,RR-0003,2026-08-17,153,3978,6,612
RR-0003-2026-08-18,RR-0003,2026-08-18,112,5712,10,1008
RR-0003-2026-08-19,RR-0003,2026-08-19,67,5293,2,536
RR-0003-2026-08-20,RR-0003,2026-08-20,158,9954,7,1422
RR-0003-2026-08-21,RR-0003,2026-08-21,123,3813,14,861
RR-0003-2026-08-22,RR-0003,2026-08-22,237,17775,22,2370
RR-0003-2026-08-23,RR-0003,2026-08-23,60,3540,6,600
RR-0003-2026-08-24,RR-0003,2026-08-24,190,13490,23,1710
RR-0003-2026-08-25,RR-0003,2026-08-25,168,9576,2,1176
RR-0003-2026-08-26,RR-0003,2026-08-26,35,1470,0,245
RR-0003-2026-08-27,RR-0003,2026-08-27,15,810,2,75
RR-0003-2026-08-28,RR-0003,2026-08-28,115,9200,13,575
RR-0003-2026-08-29,RR-0003,2026-08-29,48,2976,4,480
RR-0003-2026-08-30,RR-0003,2026-08-30,14,392,1,42
RR-0003-2026-08-31,RR-0003,2026-08-31,189,13608,11,378
RR-0003-2026-09-01,RR-0003,2026-09-01,140,9380,8,980
RR-0003-2026-09-02,RR-0003,2026-09-02,87,5394,10,435
RR-0003-2026-09-03,RR-0003,2026-09-03,5,205,2,35
RR-0004-2026-08-05,RR-0004,2026-08-05,208,16224,24,1248
RR-0004-2026-08-06,RR-0004,2026-08-06,66,4290,7,198
RR-0004-2026-08-07,RR-0004,2026-08-07,47,3760,3,470
RR-0004-2026-08-08,RR-0004,2026-08-08,83,5727,1,581
RR-0004-2026-08-09,RR-0004,2026-08-09,54,3294,3,324
RR-0004-2026-08-10,RR-0004,2026-08-10,102,3162,3,306
RR-0004-2026-08-11,RR-0004,2026-08-11,49,1470,1,392
RR-0004-2026-08-12,RR-0004,2026-08-12,49,2842,6,245
RR-0004-2026-08-13,RR-0004,2026-08-13,58,4176,8,290
RR-0004-2026-08-14,RR-0004,2026-08-14,138,8142,12,1242
RR-0004-2026-08-15,RR-0004,2026-08-15,254,6350,13,1524
RR-0004-2026-08-16,RR-0004,2026-08-16,148,4440,6,592
RR-0004-2026-08-17,RR-0004,2026-08-17,147,8967,12,882
RR-0004-2026-08-18,RR-0004,2026-08-18,65,2145,8,325
RR-0004-2026-08-19,RR-0004,2026-08-19,171,10431,15,684
RR-0004-2026-08-20,RR-0004,2026-08-20,190,6460,24,570
RR-0004-2026-08-21,RR-0004,2026-08-21,234,11232,22,2106
RR-0004-2026-08-22,RR-0004,2026-08-22,243,15309,14,2187
RR-0004-2026-08-23,RR-0004,2026-08-23,86,4730,8,172
RR-0004-2026-08-24,RR-0004,2026-08-24,144,7632,14,576
RR-0004-2026-08-25,RR-0004,2026-08-25,171,9576,10,1539
RR-0004-2026-08-26,RR-0004,2026-08-26,149,9536,5,745
RR-0004-2026-08-27,RR-0004,2026-08-27,104,5408,3,312
RR-0004-2026-08-28,RR-0004,2026-08-28,137,8631,6,1096
RR-0004-2026-08-29,RR-0004,2026-08-29,215,10750,0,1505
RR-0004-2026-08-30,RR-0004,2026-08-30,159,4293,4,318
RR-0004-2026-08-31,RR-0004,2026-08-31,122,7320,5,244
RR-0004-2026-09-01,RR-0004,2026-09-01,258,15738,28,2064
RR-0004-2026-09-02,RR-0004,2026-09-02,63,2835,7,189
RR-0004-2026-09-03,RR-0004,2026-09-03,256,17920,25,768
RR-0005-2026-08-05,RR-0005,2026-08-05,106,4346,10,636
RR-0005-2026-08-06,RR-0005,2026-08-06,217,15841,23,1736
RR-0005-2026-08-07,RR-0005,2026-08-07,170,6120,20,1360
RR-0005-2026-08-08,RR-0005,2026-08-08,136,4624,3,952
RR-0005-2026-08-09,RR-0005,2026-08-09,122,4392,4,244
RR-0005-2026-08-10,RR-0005,2026-08-10,196,10780,13,784
RR-0005-2026-08-11,RR-0005,2026-08-11,102,4284,0,408
RR-0005-2026-08-12,RR-0005,2026-08-12,69,3243,8,414
RR-0005-2026-08-13,RR-0005,2026-08-13,193,5983,16,1737
RR-0005-2026-08-14,RR-0005,2026-08-14,135,10125,6,945
RR-0005-2026-08-15,RR-0005,2026-08-15,102,5610,5,918
RR-0005-2026-08-16,RR-0005,2026-08-16,102,2754,5,1020
RR-0005-2026-08-17,RR-0005,2026-08-17,163,11247,10,652
RR-0005-2026-08-18,RR-0005,2026-08-18,116,5220,2,232
RR-0005-2026-08-19,RR-0005,2026-08-19,133,8113,15,1064
RR-0005-2026-08-20,RR-0005,2026-08-20,118,6844,7,590
RR-0005-2026-08-21,RR-0005,2026-08-21,233,7689,27,1165
RR-0005-2026-08-22,RR-0005,2026-08-22,57,3819,3,285
RR-0005-2026-08-23,RR-0005,2026-08-23,45,2925,3,450
RR-0005-2026-08-24,RR-0005,2026-08-24,97,4656,4,194
RR-0005-2026-08-25,RR-0005,2026-08-25,113,3842,7,678
RR-0005-2026-08-26,RR-0005,2026-08-26,186,11160,20,372
RR-0005-2026-08-27,RR-0005,2026-08-27,44,3432,0,88
RR-0005-2026-08-28,RR-0005,2026-08-28,197,9653,13,1379
RR-0005-2026-08-29,RR-0005,2026-08-29,170,11730,17,1530
RR-0005-2026-08-30,RR-0005,2026-08-30,30,1560,0,60
RR-0005-2026-08-31,RR-0005,2026-08-31,63,2709,2,567
RR-0005-2026-09-01,RR-0005,2026-09-01,183,12993,6,1830
RR-0005-2026-09-02,RR-0005,2026-09-02,37,925,3,222
RR-0005-2026-09-03,RR-0005,2026-09-03,37,2849,5,370
RR-0006-2026-08-05,RR-0006,2026-08-05,234,11232,20,702
RR-0006-2026-08-06,RR-0006,2026-08-06,115,7705,11,920
RR-0006-2026-08-07,RR-0006,2026-08-07,206,13184,5,1236
RR-0006-2026-08-08,RR-0006,2026-08-08,92,5612,2,920
RR-0006-2026-08-09,RR-0006,2026-08-09,178,10680,22,1780
RR-0006-2026-08-10,RR-0006,2026-08-10,242,6292,4,726
RR-0006-2026-08-11,RR-0006,2026-08-11,108,5076,6,1080
RR-0006-2026-08-12,RR-0006,2026-08-12,155,11160,20,1240
RR-0006-2026-08-13,RR-0006,2026-08-13,200,5400,1,1600
RR-0006-2026-08-14,RR-0006,2026-08-14,232,10440,2,2320
RR-0006-2026-08-15,RR-0006,2026-08-15,161,12236,1,805
RR-0006-2026-08-16,RR-0006,2026-08-16,78,4680,1,390
RR-0006-2026-08-17,RR-0006,2026-08-17,118,4956,10,236
RR-0006-2026-08-18,RR-0006,2026-08-18,132,8712,8,1188
RR-0006-2026-08-19,RR-0006,2026-08-19,184,11408,5,1656
RR-0006-2026-08-20,RR-0006,2026-08-20,248,15624,11,2480
RR-0006-2026-08-21,RR-0006,2026-08-21,234,17082,13,1872
RR-0006-2026-08-22,RR-0006,2026-08-22,143,4004,9,572
RR-0006-2026-08-23,RR-0006,2026-08-23,189,14175,23,1890
RR-0006-2026-08-24,RR-0006,2026-08-24,196,15288,0,1568
RR-0006-2026-08-25,RR-0006,2026-08-25,188,5828,13,376
RR-0006-2026-08-26,RR-0006,2026-08-26,257,16705,31,2056
RR-0006-2026-08-27,RR-0006,2026-08-27,133,9044,0,798
RR-0006-2026-08-28,RR-0006,2026-08-28,188,14852,0,940
RR-0006-2026-08-29,RR-0006,2026-08-29,175,9100,18,525
RR-0006-2026-08-30,RR-0006,2026-08-30,188,4888,25,1504
RR-0006-2026-08-31,RR-0006,2026-08-31,230,10580,2,2070
RR-0006-2026-09-01,RR-0006,2026-09-01,203,11977,8,1421
RR-0006-2026-09-02,RR-0006,2026-09-02,210,7980,1,420
RR-0006-2026-09-03,RR-0006,2026-09-03,190,9880,23,760
