Name,AccountNumber,Industry,Type,Rating,AnnualRevenue,NumberOfEmployees,BillingCountryCode,BillingStateCode,Website,Customer_Segment__c,ARR__c,Renewal_Date__c
Acme Analytics,RR-0001,Retail,Customer - Direct,Hot,14000000,900,US,TX,https://acmeanalytics.example.com,Enterprise,1400000,2026-11-14
Burlington Analytics,RR-0002,Education,Customer - Direct,Hot,960000,4200,US,NY,https://burlingtonanalytics.example.com,Commercial,120000,2026-11-14
CloudNova Analytics,RR-0003,Logistics,Customer - Direct,Hot,10800000,900,US,TX,https://cloudnovaanalytics.example.com,Enterprise,900000,2026-10-05
DeltaPay Analytics,RR-0004,Financial Services,Customer - Direct,Warm,750000,180,US,GA,https://deltapayanalytics.example.com,Commercial,75000,2027-01-11
Evergreen Analytics,RR-0005,Energy,Customer - Direct,Cold,1440000,450,US,NY,https://evergreenanalytics.example.com,Commercial,180000,2026-10-05
FinEdge Analytics,RR-0006,Healthcare,Customer - Direct,Hot,3200000,450,US,NY,https://finedgeanalytics.example.com,Mid-Market,320000,2027-01-11
GlobeWorks Analytics,RR-0007,Manufacturing,Customer - Direct,Warm,5500000,4200,US,GA,https://globeworksanalytics.example.com,Mid-Market,550000,2026-09-21
HelioSoft Analytics,RR-0008,Energy,Customer - Direct,Warm,1200000,1800,US,IL,https://heliosoftanalytics.example.com,Commercial,120000,2026-11-14
IronBridge Analytics,RR-0009,Financial Services,Customer - Direct,Cold,1200000,4200,US,GA,https://ironbridgeanalytics.example.com,Commercial,120000,2026-10-21
Jupiter Analytics,RR-0010,Manufacturing,Customer - Direct,Warm,1800000,900,US,NY,https://jupiteranalytics.example.com,Commercial,180000,2026-10-21
Keystone Analytics,RR-0011,Energy,Customer - Direct,Cold,900000,180,US,NY,https://keystoneanalytics.example.com,Commercial,75000,2027-01-11
Luma Analytics,RR-0012,Technology,Customer - Direct,Cold,1800000,900,US,GA,https://lumaanalytics.example.com,Commercial,120000,2026-10-05
MetroGrid Analytics,RR-0013,Manufacturing,Customer - Direct,Warm,600000,80,US,IL,https://metrogridanalytics.example.com,Commercial,75000,2026-12-07
